layer,county_fips,county_name,h3,black_alone_apportioned,black_alone_delta,black_alone_point,dem_votes_apportioned,dem_votes_delta,dem_votes_point,hispanic_or_latino_apportioned,hispanic_or_latino_delta,hispanic_or_latino_point,non_hispanic_white_alone_apportioned,non_hispanic_white_alone_delta,non_hispanic_white_alone_point,rep_votes_apportioned,rep_votes_delta,rep_votes_point,total_population_apportioned,total_population_delta,total_population_point,total_votes_apportioned,total_votes_delta,total_votes_point,voting_age_population_apportioned,voting_age_population_delta,voting_age_population_point,white_alone_apportioned,white_alone_delta,white_alone_point
precincts,001,Alamance,872a8b8c9ffffff,,,,54.911682,54.911682,0.0,,,,,,,54.542597,54.542597,0.0,,,,109.45428,109.45428,0.0,,,,,,
precincts,001,Alamance,872a8b8caffffff,,,,22.258604,22.258604,0.0,,,,,,,87.294662,87.294662,0.0,,,,109.553265,109.553265,0.0,,,,,,
precincts,001,Alamance,872a8b8cbffffff,,,,35.433818,35.433818,0.0,,,,,,,74.051986,74.051986,0.0,,,,109.485803,109.485803,0.0,,,,,,
precincts,001,Alamance,872a8b8ccffffff,,,,1.719862,1.719862,0.0,,,,,,,1.708302,1.708302,0.0,,,,3.428164,3.428164,0.0,,,,,,
precincts,001,Alamance,872a8b8cdffffff,,,,48.632802,48.632802,0.0,,,,,,,48.30592,48.30592,0.0,,,,96.938723,96.938723,0.0,,,,,,
precincts,001,Alamance,872a8b8ceffffff,,,,3.213644,3.213644,0.0,,,,,,,11.645056,11.645056,0.0,,,,14.8587,14.8587,0.0,,,,,,
precincts,001,Alamance,872a8b8d8ffffff,,,,9.691066,9.691066,0.0,,,,,,,38.0068,38.0068,0.0,,,,47.697865,47.697865,0.0,,,,,,
precincts,001,Alamance,872a8b8d9ffffff,,,,22.257,22.257,0.0,,,,,,,87.288373,87.288373,0.0,,,,109.545373,109.545373,0.0,,,,,,
precincts,001,Alamance,872a8b8daffffff,,,,20.228332,20.228332,0.0,,,,,,,70.090832,70.090832,0.0,,,,90.319164,90.319164,0.0,,,,,,
precincts,001,Alamance,872a8b8dbffffff,,,,26.617455,26.617455,0.0,,,,,,,98.709776,98.709776,0.0,,,,125.327231,125.327231,0.0,,,,,,
precincts,001,Alamance,872a8b8ddffffff,,,,6.259441,6.259441,0.0,,,,,,,24.54852,24.54852,0.0,,,,30.807961,30.807961,0.0,,,,,,
precincts,001,Alamance,872a8ba12ffffff,,,,92.424497,92.424497,0.0,,,,,,,57.605801,57.605801,0.0,,,,150.030297,150.030297,0.0,,,,,,
precincts,001,Alamance,872a8ba80ffffff,,,,138.625295,138.625295,0.0,,,,,,,234.217609,234.217609,0.0,,,,372.842904,372.842904,0.0,,,,,,
precincts,001,Alamance,872a8ba81ffffff,,,,232.155889,232.155889,0.0,,,,,,,303.786101,303.786101,0.0,,,,535.94199,535.94199,0.0,,,,,,
precincts,001,Alamance,872a8ba82ffffff,,,,288.34989,-740.65011,1029.0,,,,,,,390.828409,-1001.171591,1392.0,,,,679.178299,-1741.821701,2421.0,,,,,,
precincts,001,Alamance,872a8ba83ffffff,,,,256.554263,256.554263,0.0,,,,,,,328.324047,328.324047,0.0,,,,584.87831,584.87831,0.0,,,,,,
precincts,001,Alamance,872a8ba84ffffff,,,,138.201092,138.201092,0.0,,,,,,,233.821908,233.821908,0.0,,,,372.022999,372.022999,0.0,,,,,,
precincts,001,Alamance,872a8ba85ffffff,,,,138.054442,-771.945558,910.0,,,,,,,233.934011,-1308.065989,1542.0,,,,371.988453,-2080.011547,2452.0,,,,,,
precincts,001,Alamance,872a8ba86ffffff,,,,224.41353,224.41353,0.0,,,,,,,262.939718,262.939718,0.0,,,,487.353248,487.353248,0.0,,,,,,
precincts,001,Alamance,872a8ba88ffffff,,,,89.224004,89.224004,0.0,,,,,,,133.713107,133.713107,0.0,,,,222.937111,222.937111,0.0,,,,,,
precincts,001,Alamance,872a8ba89ffffff,,,,89.190441,-1362.809559,1452.0,,,,,,,133.662809,-2042.337191,2176.0,,,,222.85325,-3405.14675,3628.0,,,,,,
precincts,001,Alamance,872a8ba8affffff,,,,102.326424,102.326424,0.0,,,,,,,172.681149,172.681149,0.0,,,,275.007573,275.007573,0.0,,,,,,
precincts,001,Alamance,872a8ba8bffffff,,,,88.439715,88.439715,0.0,,,,,,,134.298561,134.298561,0.0,,,,222.738275,222.738275,0.0,,,,,,
precincts,001,Alamance,872a8ba8cffffff,,,,90.035317,90.035317,0.0,,,,,,,134.652339,134.652339,0.0,,,,224.687657,224.687657,0.0,,,,,,
precincts,001,Alamance,872a8ba8dffffff,,,,89.230329,89.230329,0.0,,,,,,,133.722586,133.722586,0.0,,,,222.952915,222.952915,0.0,,,,,,
precincts,001,Alamance,872a8ba8effffff,,,,172.652462,-668.347538,841.0,,,,,,,228.836558,-831.163442,1060.0,,,,401.489021,-1499.510979,1901.0,,,,,,
precincts,001,Alamance,872a8ba90ffffff,,,,478.308042,478.308042,0.0,,,,,,,584.194718,584.194718,0.0,,,,1062.502759,1062.502759,0.0,,,,,,
